Region id,Industry ID,Year,Large: 100+ Employees,Medium: 50-99 Employees,Small: 0-49 Employees,Total
cnt1209,1,2010,344,369,23317,24030
cnt1209,1,2011,307,370,23320,23997
ecr25,1,2011,307,370,23320,23997
ecr25,1,2010,344,369,23317,24030
cnt1209,2,2010,,1,286,287
cnt1209,2,2011,,2,319,321
ecr25,2,2011,,2,319,321
ecr25,2,2010,,1,286,287
cnt1209,3,2010,4,2,83,89
cnt1209,3,2011,1,2,82,85
ecr25,4,2010,3,3,21,27
ecr25,5,2011,1,2,82,85
ecr25,5,2010,4,2,83,89
cnt1209,4,2010,3,3,21,27
cnt1209,4,2011,1,3,19,23
ecr25,4,2011,1,3,19,23
cnt1209,7,2010,20,26,2703,2749
cnt1209,7,2011,12,19,2717,2748
ecr25,7,2011,12,19,2717,2748
ecr25,7,2010,20,26,2703,2749
cnt1209,8,2010,19,25,509,553
cnt1209,8,2011,12,17,469,498
ecr25,8,2011,12,17,469,498
ecr25,8,2010,19,25,509,553
cnt1209,9,2010,14,19,1211,1244
cnt1209,9,2011,12,19,1102,1133
ecr25,9,2011,12,19,1102,1133
ecr25,9,2010,14,19,1211,1244
cnt1209,10,2010,40,52,2216,2308
cnt1209,10,2011,44,66,2218,2328
ecr25,10,2011,44,66,2218,2328
ecr25,10,2010,40,52,2216,2308
ecr25,11,2011,34,27,156,217
cnt1209,12,2010,18,18,905,941
cnt1209,12,2011,15,18,903,936
cnt1209,13,2011,11,7,463,481
ecr25,12,2011,15,18,903,936
ecr25,12,2010,18,18,905,941
cnt1209,13,2010,16,4,507,527
ecr25,13,2011,11,7,463,481
ecr25,13,2010,16,4,507,527
cnt1209,16,2010,14,18,1685,1717
cnt1209,16,2011,18,16,1706,1740
ecr25,16,2011,18,16,1706,1740
ecr25,16,2010,14,18,1685,1717
cnt1209,17,2010,9,8,2244,2261
cnt1209,17,2011,7,9,2564,2580
ecr25,17,2011,7,9,2564,2580
ecr25,17,2010,9,8,2244,2261
cnt1209,18,2010,18,20,3102,3140
cnt1209,18,2011,13,16,3106,3135
ecr25,18,2011,13,16,3106,3135
ecr25,18,2010,18,20,3102,3140
cnt1209,19,2010,15,11,1421,1447
cnt1209,19,2011,15,10,1378,1403
ecr25,19,2011,15,10,1378,1403
ecr25,19,2010,15,11,1421,1447
cnt1209,20,2010,33,27,1003,1063
cnt1209,20,2011,34,29,960,1023
ecr25,20,2011,34,29,960,1023
ecr25,20,2010,33,27,1003,1063
cnt1209,21,2010,10,13,275,298
cnt1209,21,2011,4,12,264,280
ecr25,21,2011,4,12,264,280
ecr25,21,2010,10,13,275,298
cnt1209,22,2010,38,23,1702,1763
cnt1209,22,2011,37,26,1756,1819
ecr25,22,2011,37,26,1756,1819
ecr25,22,2010,38,23,1702,1763
cnt1209,23,2010,7,5,369,381
cnt1209,23,2011,6,7,349,362
ecr25,23,2011,6,7,349,362
ecr25,23,2010,7,5,369,381
cnt1209,24,2010,18,45,1007,1070
cnt1209,24,2011,18,47,974,1039
ecr25,24,2011,18,47,974,1039
ecr25,24,2010,18,45,1007,1070
cnt1209,25,2010,13,23,1915,1951
cnt1209,25,2011,13,18,1815,1846
ecr25,25,2011,13,18,1815,1846
ecr25,25,2010,13,23,1915,1951
cnt1209,26,2010,35,26,153,214
cnt1209,26,2011,34,27,156,217
ecr25,26,2010,35,26,153,214
cnt1210,1,2007,352,405,23419,24176
cnt1210,2,2007,,,330,332
cnt1210,5,2007,7,,76,85
cnt1210,4,2007,,0,18,20
cnt1210,7,2007,17,30,2818,2865
cnt1210,8,2007,20,22,559,601
cnt1210,9,2007,21,19,1338,1378
cnt1210,10,2007,48,66,2149,2263
cnt1210,12,2007,17,25,910,952
cnt1210,13,2007,19,7,538,564
cnt1210,16,2007,15,21,1616,1652
cnt1210,17,2007,8,7,2166,2181
cnt1210,18,2007,19,23,3083,3125
cnt1210,19,2007,9,8,1437,1454
cnt1210,20,2007,20,30,1050,1100
cnt1210,21,2007,10,12,285,307
cnt1210,22,2007,35,26,1547,1608
cnt1210,23,2007,7,7,385,399
cnt1210,24,2007,23,46,1014,1083
cnt1210,25,2007,17,19,1887,1923
cnt1210,11,2007,37,34,213,284
