Board Code,School Number,School Name 
54,579,Inglis Street Elementary School
54,602,Grosvenor-Wentworth Park Elementary
54,512,Admiral Westphal Elementary School
54,535,South Woodside School
54,515,Bicentennial School
57,947,École Beaubassin
54,593,Springvale Elementary School
57,1197,École Mer et Monde
54,580,St. Joseph's Alexander McKay Elementary
54,599,Fairview Heights Elementary
54,521,Harbour View Elementary School
57,948,École Bois-Joli
54,586,St. Stephen's Elementary School
54,609,Rockingstone Heights School
54,596,Chebucto Heights Elementary
54,589,Sir Charles Tupper Elementary School
54,569,Joseph Howe Elementary School
54,611,Central Spryfield Elementary
54,519,Brookhouse Elementary
