FULL_NAME,STR_TYPE,STR_CODE_L,Shape__Length
MCDONALD LAKE DR,DR,8222,1104.207953
MCDOUGALL RD,RD,5581,1640.262699
MCFETRIDGE RD,RD,6200,3784.18733
MCGRATHS COVE RD,RD,7671,2404.393659
MCKAY LANE,LANE,6536,504.4892908
PENNS RD,RD,81,153.6333342
PENTICTON DR,DR,8507,218.4289411
PERRY GRANT DR,DR,599,2061.836152
MAPLE DR,DR,8466,596.5523698
MAPLE DR,DR,7967,220.5525731
MAPLE PL,PL,6412,208.3689115
MAPLEWOOD CRT,CRT,16439,469.9269562
MAPLEWOOD DR,DR,771,850.4612197
PADDINGTON WAY,WAY,7738,161.538959
PALMER RD,RD,8815,385.5847065
