Implementation Year,Region,School Number,School Name ,Address,Community,Province,Postal Code ,Location
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,579,Inglis Street Elementary School,5985 INGLIS ST,HALIFAX,Nova Scotia,B3H 1K7,POINT (-63.582726 44.632733)
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,602,Grosvenor-Wentworth Park Elementary,4 Downing St,HALIFAX,Nova Scotia,B3M 2G4,POINT (-63.668629 44.685564)
2017-18,HALIFAX REGIONAL CENTRE FOR EDUCATION,512,Admiral Westphal Elementary School,6 FOURTH ST,DARTMOUTH,Nova Scotia,B2X 3A5,POINT (-63.54535 44.686077)
2017-18,HALIFAX REGIONAL CENTRE FOR EDUCATION,535,South Woodside School,5 EVERETTE ST,DARTMOUTH,Nova Scotia,B2W 1G2,POINT (-63.540357 44.64497)
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,515,Bicentennial School,85 VICTORIA RD,DARTMOUTH,Nova Scotia,B3A 1T9,POINT (-63.570857 44.671207)
2018-19,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,947,École Beaubassin,54 LARRY UTECK BLVD,HALIFAX,Nova Scotia,B3M 4R9,POINT (-63.664224 44.698605)
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,593,Springvale Elementary School,92 DOWNS AVE,HALIFAX,Nova Scotia,B3N 1Y6,POINT (-63.635491 44.642223)
2018-19,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,1197,École Mer et Monde,5750 Atlantic St,Halifax,Nova Scotia,B3H 1G9,POINT (-63.576469 44.632051)
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,580,St. Joseph's Alexander McKay Elementary,5389 Russell St,HALIFAX,Nova Scotia,B3K 1W8,POINT (-63.596019 44.662287)
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,599,Fairview Heights Elementary,210 Coronation Ave,HALIFAX,Nova Scotia,B3N 2Y3,POINT (-63.64888 44.650594)
2017-18,HALIFAX REGIONAL CENTRE FOR EDUCATION,521,Harbour View Elementary School,25 ALFRED ST,DARTMOUTH,Nova Scotia,B3A 4E8,POINT (-63.589114 44.681047)
2018-19,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,948,École Bois-Joli,211 AVENUE DU PORTAGE,DARTMOUTH,Nova Scotia,B2X 3T4,POINT (-63.53125 44.707058)
2017-18,HALIFAX REGIONAL CENTRE FOR EDUCATION,586,St. Stephen's Elementary School,3669 HIGHLAND AVE,HALIFAX,Nova Scotia,B3K 4L9,POINT (-63.611982 44.668202)
2017-18,HALIFAX REGIONAL CENTRE FOR EDUCATION,609,Rockingstone Heights School,1 REGAN DR,HALIFAX,Nova Scotia,B3R 2J1,POINT (-63.615781 44.598313)
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,596,Chebucto Heights Elementary,230 COWIE HILL RD,HALIFAX,Nova Scotia,B3P 2M3,POINT (-63.623847 44.629746)
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,589,Sir Charles Tupper Elementary School,1930 CAMBRIDGE ST,HALIFAX,Nova Scotia,B3H 4S5,POINT (-63.600587 44.642808)
2017-18,HALIFAX REGIONAL CENTRE FOR EDUCATION,569,Joseph Howe Elementary School,2557 MAYNARD ST,HALIFAX,Nova Scotia,B3K 3V6,POINT (-63.591549 44.655512)
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,611,Central Spryfield Elementary,364 HERRING COVE RD,HALIFAX,Nova Scotia,B3R 1V8,POINT (-63.617663 44.611613)
2018-19,HALIFAX REGIONAL CENTRE FOR EDUCATION,519,Brookhouse Elementary,15 CHRISTOPHER AVE,DARTMOUTH,Nova Scotia,B2W 3G2,POINT (-63.52195 44.679747)
