OBJECTID,ARCODE_RES,ARCODE_COM,DESCRIP,FCODE,SOURCE,SACC,SDATE,ARCODE_RCE,Shape__Area,Shape__Length
2717,95,97,Fire Protection,DLBNFIFP,FINANCE,Derived,2015-07-29T00:00:00.000Z,95,4576661.71875,15795.9514916647
2718,95,97,Fire Protection,DLBNFIFP,FINANCE,Derived,2019-06-18T00:00:00.000Z,95,5468159.65625,25769.5264209516
2719,95,97,Fire Protection,DLBNFIFP,FINANCE,Derived,2012-07-17T00:00:00.000Z,95,156807.13671875,1664.10429406137
2720,95,97,Fire Protection,DLBNFIFP,HYD NETWORK,Derived,2013-07-12T00:00:00.000Z,95,118974.4375,1637.07101397268
2721,95,97,Fire Protection,DLBNFIFP,HYD NETWORK,Derived,2013-07-12T00:00:00.000Z,95,10863988.4296875,15865.2455212451
2722,95,97,Fire Protection,DLBNFIFP,HYD NETWORK,Derived,2013-07-12T00:00:00.000Z,95,469902.7109375,3478.13609103542
2723,95,97,Fire Protection,DLBNFIFP,FINANCE,Derived,2016-06-16T00:00:00.000Z,95,727952.9296875,4983.94854099709
2724,95,97,Fire Protection,DLBNFIFP,FINANCE,Derived,2017-07-10T00:00:00.000Z,95,5935261.0625,10278.3188572351
2725,95,97,Fire Protection,DLBNFIFP,HYD NETWORK,Derived,2011-07-15T00:00:00.000Z,95,634414481.542969,639749.92137518
2726,95,97,Fire Protection,DLBNFIFP,HYD NETWORK,Derived,2010-06-08T00:00:00.000Z,95,33628932.9375,32267.6520907222
